-> CIDR: 104.16.0.0/12 - NetRange: 104.16.0.0 - 104.31.255.255 - NetName: CLOUDFLARENET
-> CIDR: 108.136.0.0/14 - NetRange: 108.128.0.0 - 108.139.255.255 - NetName: AMAZO-4
-> CIDR: 108.128.0.0/13 - NetRange: 108.128.0.0 - 108.139.255.255 - NetName: AMAZO-4
-> CIDR: 13.200.0.0/13 - NetRange: 13.200.0.0 - 13.239.255.255 - NetName: AT-88-Z
-> CIDR: 13.208.0.0/12 - NetRange: 13.200.0.0 - 13.239.255.255 - NetName: AT-88-Z
-> CIDR: 13.224.0.0/12 - NetRange: 13.200.0.0 - 13.239.255.255 - NetName: AT-88-Z
-> CIDR: 172.64.0.0/13 - NetRange: 172.64.0.0 - 172.71.255.255 - NetName: CLOUDFLARENET
-> CIDR: 18.128.0.0/9 - NetRange: 18.32.0.0 - 18.255.255.255 - NetName: AT-88-Z
-> CIDR: 18.32.0.0/11 - NetRange: 18.32.0.0 - 18.255.255.255 - NetName: AT-88-Z
-> CIDR: 18.64.0.0/10 - NetRange: 18.32.0.0 - 18.255.255.255 - NetName: AT-88-Z
-> CIDR: 18.154.0.0/15 - NetRange: 18.154.0.0 - 18.155.255.255 - NetName: AMAZON-CF
-> CIDR: 204.246.160.0/19 - NetRange: 204.246.160.0 - 204.246.191.255 - NetName: AMAZON-04
-> CIDR: 23.20.0.0/14 - NetRange: 23.20.0.0 - 23.23.255.255 - NetName: AMAZON-EC2-USEAST-10
-> CIDR: 23.20.0.0/14 - NetRange: 23.20.0.0 - 23.23.255.255 - NetName: AMAZON-IAD
-> CIDR: 3.0.0.0/9 - NetRange: 3.0.0.0 - 3.127.255.255 - NetName: AT-88-Z
-> CIDR: 34.192.0.0/10 - NetRange: 34.192.0.0 - 34.255.255.255 - NetName: AT-88-Z
-> CIDR: 35.176.0.0/13 - NetRange: 35.152.0.0 - 35.183.255.255 - NetName: AT-88-Z
-> CIDR: 35.152.0.0/13 - NetRange: 35.152.0.0 - 35.183.255.255 - NetName: AT-88-Z
-> CIDR: 35.160.0.0/12 - NetRange: 35.152.0.0 - 35.183.255.255 - NetName: AT-88-Z
-> CIDR: 35.153.0.0/16 - NetRange: 35.153.0.0 - 35.153.255.255 - NetName: AMAZON-IAD
-> CIDR: 44.192.0.0/10 - NetRange: 44.192.0.0 - 44.255.255.255 - NetName: AMAZO-4
-> CIDR: 44.192.0.0/11 - NetRange: 44.192.0.0 - 44.223.255.255 - NetName: AMAZON-IAD
-> CIDR: 52.0.0.0/10 - NetRange: 52.0.0.0 - 52.79.255.255 - NetName: AT-88-Z
-> CIDR: 52.64.0.0/12 - NetRange: 52.0.0.0 - 52.79.255.255 - NetName: AT-88-Z
-> CIDR: 52.223.0.0/17 - NetRange: 52.192.0.0 - 52.223.191.255 - NetName: AT-88-Z
-> CIDR: 52.208.0.0/13 - NetRange: 52.192.0.0 - 52.223.191.255 - NetName: AT-88-Z
-> CIDR: 52.216.0.0/14 - NetRange: 52.192.0.0 - 52.223.191.255 - NetName: AT-88-Z
-> CIDR: 52.222.0.0/16 - NetRange: 52.192.0.0 - 52.223.191.255 - NetName: AT-88-Z
-> CIDR: 52.220.0.0/15 - NetRange: 52.192.0.0 - 52.223.191.255 - NetName: AT-88-Z
-> CIDR: 52.192.0.0/12 - NetRange: 52.192.0.0 - 52.223.191.255 - NetName: AT-88-Z
-> CIDR: 52.223.128.0/18 - NetRange: 52.192.0.0 - 52.223.191.255 - NetName: AT-88-Z
-> CIDR: 54.144.0.0/12 - NetRange: 54.144.0.0 - 54.221.255.255 - NetName: AMAZON
-> CIDR: 54.160.0.0/11 - NetRange: 54.144.0.0 - 54.221.255.255 - NetName: AMAZON
-> CIDR: 54.192.0.0/12 - NetRange: 54.144.0.0 - 54.221.255.255 - NetName: AMAZON
-> CIDR: 54.220.0.0/15 - NetRange: 54.144.0.0 - 54.221.255.255 - NetName: AMAZON
-> CIDR: 54.208.0.0/13 - NetRange: 54.144.0.0 - 54.221.255.255 - NetName: AMAZON
